"","lyrics"
"1159","drename nigga thats like make movies nigga want smoke tell niggas shooters deep yeah right yall niggas bout life shoot shoot twice cook like nigga make street shoot dice niggas talk cause spray role fold nigga wish sell soul pull taurues sing look chinese lingling years grammy clutchin heat miami fuck fuck granny yall soft sweet like bitch savage blue yellow like nigga dandy water hoe dont fuck nose body freeze hoe stay strap like know tell send right hell bitch sing like free niggas rot cell real street nigga dont abid pull pant polo draw ddre loose dont ball fuck keshawn bitch go wacked fuck pussy know knat laptop cause bitch right bitch manors keshawn nigga break break nigga lick want thug nigga thug play pubg free niggas sell drug nigga play nigga diexguess tell twice time twice trump try shut border yeah white house kill quarter hoe fine beat meat time yall hoe smell stink round yall guess stink need lysol stink shit probably shit yeah nigga shit cause nigga snitch bust girl nut finish walk limp"
"1160","people long lookin different tune croon rhythm start swingin know blue say blue begin ohhh yeah weheard breeze tree sing weird melodies name start blue jail come whale downhearted frail play blue whippoorwill high take note push horn till wear blue note better believe nurse rehearse give news south land give birth blue"
"1161","save late torture kiss past mistake time forth find kind hard imagine life girl feel like moments hard come tear fall eye flood water rise knees attempt drown sound escape lungs smell drive put time sink seat wonder exactly go pass kind hard imagine life girl feel like moments hard come tear fall eye flood water rise knees attempt drown sound escape lungs tear fall eye flood water rise knees attempt drown sound escape lungs tear fall eye flood water rise knees attempt drown sound escape lungs"
"1162","need break noise middle night need break boys want fight need break lonely break play game need break shake hand fake name believe tell time run eye tell doubt need break need break need break pay bill break pay rent money loan dent need break early mornings break alarm break boss wouldn harm temper get shorter mood get bottle genie wish need break need break need clothe need need tell want rent movie list things choose need break need break need doctor want pills need diagnosis cause know time tell need break need break need break hassle break hype need break go fashion overnight need break keep break feel need break traffic need break people tell right wrong want listen know need break need break try learn paint try learn sing try meditate try read ching miss miss thing need break need break need doctor want pills need diagnosis cause know time tell need break need break need break"
"1163","restless windstorm jumpy puppet string spring fever know spring starry eye gravely discontent like nightingale song sing spring fever spring wish walk strange street hear word hear meet busy spider spin daydream giddy baby swing see crocus rosebud bluebird wing feel melancholy spring spring"
"1164","catch pull deere maxed sip aquafina trader brew bottle straight hanes boxers apron live shit buzi track skrr skrr yeah spit facts shots round clique swag halibab chick underdogs cause shit haters sleep like flag feel beat brain like tochnit cruise bredrin turn wonderful things intersession bar like chill drill freestyle level earn shekels stay schedule need kettle water stay time excite drink like mayim gotta drink water cause lebron curry shoot stay high hydrate thatwater yeah fade high drated consent bitch like shiva think real religious time fila shabbat package get deliver get distract tryna fidget spinner hairline recede like water dead omanut work etsy tell logistics need bedsheets bitch toot toot dizzy gillespie stay high hydrate water yeah fade high drated high right drated"
"1165","sentimental try fall kill cause take advantage like apple bough gonna shake cook cause take advantage bother know elbow suffer awful time worse near bridge burn babe arm concern lock doors cause take advantage kill cause take advantage tell cook cause take advantge bother know elbow suffer awful time worse near bridge burn babe arm concern lock doors take advantage poor little"
"1166","listen plea honeybee fill jealousy blame goodness know suckle passin flower droop sigh know reason sweety goodness know suckle sugar touch need sugar sweet stir take sip dainty lips fairly drip confection goodness know suckle honeybee fill jealousy blame goodness know suckle passin flower droop sigh know reason sweety goodness know suckle sugar touch need sugar sweet stir take sip dainty lips fairly drip confection goodness know suckle"
"1167","honeybee fill jealousy blame themgoodness know honeysuckle passin byflowers drop sigh know reason sweetergoodness know honeysuckle sugaryou touch sugarit sweet stir take sipsfrom tasty lips fairly drip know honeysuckle instrumental break sugaryou touch sugarit sweet stir take sipsfrom tasty lips fairly drip know honeysuckle say know honeysuckle"
"1168","strangers starlight hearts pass night whisper leave whisper hold tight kiss thrill moment bear strangers starlight lovers strangers starlight hearts pass night whisper leave whisper hold tight kiss thrill moment bear strangers starlight lovers"
"1169","olden days glimpse stock look shock heaven know go good author know better word letter word write prose go world go today good today black white today night today guy today women prize today silly great romancer know bind answer propose go world go today good today black white today night today guy today women prize today silly great romancer know bind answer propose go go go wanna alright baby"
"1170","place prayer dream feel like give cause fear crash close eye hand yeah kings queen believe write star shine world belong strong exactly place place water meet heart free come life break hand wait kings queen believe write star shine world belong strong exactly place place hold hold place kings queen believe write star shine world belong strong exactly exactly place"
"1171","solitude haunt dreadful ease days go solitude taunt memories chair fill despair gloom stare know soon solitude afraid dear lord send chair fill despair onecould gloom stare know soon solitude afraid dear lord send"
"1172","cry turn road turn thing learn cry fool eye little bluer arm little truer cry turn cry turn road turn thing learn cry fool eye little bluer arm little truer cry turn"
"1173","good good music possessin sweet music make tune complete mean thing swing mean thing sing make difference sweet rhythm rything mean thing swing"
"1174","blue world world days nights fill heaven away grow blue world world heart indigo blue blue world"
"1175","promise kiss springtime make lonely winter long breathless hush even tremble brink lovely song glow light dearest things know arm hold know moment divine things glow light dearest things know arm hold know moment divine things"
"1176","night like lovely tune beware foolish heart white constant moon care foolish heart line fascination hard moment sensation lose magic kiss lips close beware foolish heart eager lips combine start time fascination dream fade fall apart time foolish heart night like lovely tune beware foolish heart white constant moon care foolish heart"
"1177","know forget long sound uncrowned kings give crown know remember warmth warmth sound sound linger long sure hear hear truly repeat hear forget everpresent sound abound praise echo universe endless span time uncountable days pretty little piquant passages play positive endure time sacred circumstance allow live forever remember feel spirit hangin roun remember single hear lovely trumpet tone exquisite sing horn sound somebody tell certain play like play say go away know hear believe believe remember hear know forget uncrowned know remember member remember"
"1178","perfect sweetheart real dream wonderful vision team imagine feel real ideal want nice live paradise live know wait know blue pray night exactly like spend money scenes exactly like feel grand want hand world understand foolish little scheme schemin dream dreamin know mother teach true mean exactly like"
"1179","nice come home nice breeze high sing lullaby desire star chill winter moon burn nice paradise come home"
"1180","hours sleep heart keep rendezvous ghost hours haunt place face news blue someday search till know start live till vigil end pretend rest days love hours love hours days hours"
"1181","belong free stay completely strong sweetly need night hand hand heart heart lips lips chain bind need slave hand hand heart heart lips lips chain bind need slave"
"1182","wonder little darling moonlit night hold tight baby wonder heart ache fool break maybe awake mistake wonder baby lover heart pain go travel travel fast sweetheart sweetheart wonder little baby die heart come run baby wonder"
"1183","go everybody cross paths sense meet sound streets like music ears flow beat like music ears hear years think go music gonna live repeat spiritual live miracles heart shin bright indigo invisible naked surprise world overmaximize satisfy come want mind road look window hold memoirs notebook document bar hook know reality appreciate look gotta people believe face smile read envy stay focus weave jealousy bring harm deep root stink eye slip world repeat live hear sirens bass kick guitar riff violins footsteps better place better days spend time plan life sketch away understand believe happen reason easy things control play mind want soul close need space go personal aspect highly experience coldblooded game pain build immunity emotions come opportunities handle business know friends open break defenseless repeat play game mindsets correct respect collect express chest complain bless compromise end meet think sleep week month right street know bounce feet downfall place plug leak shit time stonger piece couldn hunger want remember world poet grind pick grow midst important recipe long alive best repeat sound streets like flow beat like sound streets like flow beat like"
"1184","cheat heart weep sleep sleep come night cheat heart tell tear come like fall rain toss walk floor cheat heart tell tear come like fall rain toss walk floor cheat heart tell cheat heart tell"
"1185","song sing years endless spring murmur even tide ripple nook lovers hide great symphonic theme starlight dream heart agree earth great symphonic theme starlight dream heart agree earth"
"1186","romance heart young eager heart romance romance arm strong eager arm romance lover want hush even hush even rush real romance heart young eager heart away romance lover want hush even hush even rush real romance heart young eager heart away romance romance"
"1187","fine romance kiss fine romance friend like couple tomatoes cold yesterday mash potatoes fine romance nestle fine romance wrestle muss crease blue pant fine romance fine romance good fellow romance jello calmer seal arctic ocean flap fin express emotion fine romance quarrel insult morals hard land fine romance fine romance kiss fine romance friend true thrill healthy crime half thrill march time fine romance clinch fine romance pinch orchids send glance like cactus plant fine romance"
"1188","lovely lengthen even sigh goodbye walk remember content love lips warm spring afraid autumn sorrow remember dwindle glow ash flame live little forget lonely remember"
"1189","dream reverie mean poor fool school whirlpool romance cruel dream worthless life begin reverie dream reality dispense formality come reverie reverie"
"1190","kinds riches gold wealth miss remember worthwhile things buy sell moon belong ryone best things life free star belong ryone gleam flower spring robins sing sunbeams shine come ryone best things life free world sort treasure bargain joy small treasure real store moon belong ryone best things life free star belong ryone gleam flower spring robins sing sunbeams shine come ryone best things life free"
"1191","keepin mischief playin desire world plainly tell advance break romance livin vow cause keepin mischief keepin mischief playin desire world plainly tell advance break romance livin vow cause keepin mischief yeah keepin mischief yeah keepin mischief"
"1192","affair killin stand uncertainly tell know want stay leave lonely believe lonely night time right time kissin night time time reminiscin regrettin instead forgettin somebody intend independently blue want want borrow today tomorrow"
"1193","deep purple fall sleepy garden wall star begin twinkle night mist memory wander breathe sigh night hold tight go live moonlight beam long heart beat lover meet deep purple dream deep purple dream dream deep purple dream"
"1194","world treat change world treat change handsome admit romance come nice probably bore see grand sweet offer hand understand adieu pardon ask course couldn know change adieu pardon ask course couldn know change"
"1195","party starter permanent like sharpie marker herbs lyrical dizzy bbop spit shit like hippies trip woodstock drop hit straight éxitos palabras salen como vómito modelos anoréxicos puro necesita antisépticos motherfuckers sleep street narcolépticos estados unidos méxico bout club cuba puerto rico dominican republic desde santo domingo hasta punta cana juego nunca gana trabajo tuyo paga mucha chica está otro cuando llamas casa cucarachas chupacabras nadie importan palabras check sit chillin land score cold million dream money cash hoe fillin mind time blind lose control illin terrorists destroy build people stash money little little slow killin ceos steal billion dollars months sixteen years dope dealin yeah gotta legalize wanna gonna admit frickin fuck worse frequently care news pay dues travel round play blue dirty club puke stain shoe fuck lose shit significant different shit brother crew formulate jam smuckers move night coast coast like truckers motherfuckers think fail ring email exactly year folks promise nostradamus sick like room puke like random crew group cause know like spoonful soup like spoonful soup cause blow motherfuckin herbal cetera cetera motherfuckin cetera"
"1196","smoke drink swear habit sublime risk square resist temptation time weakness possess meekness confess habit fall fall right resolution forget past fall fast dream matter shatter long scatter go grand illusion delusion revolution break habit fall care conquer beware despair affair endevour evermore treat gently evidently habit like habit fall little shove start fallin yeah start fallin oops start fallin"
"1197","somebody hurt somebody hurt somebody hurt yeah somebody hurt tell gonna hurt somebody somebody somebody hurt abuse gonna hurt right right right gotta somebody love somebody love tell gonna hurt somebody hurt somebody hurt somebody hurt somebody hurt know gonna hurt gonna hurt"
"1198","friends lovers friends like think kiss like pretend end friends drift apart friends break heart love laugh cry suddenly die story end friends"
"1199","warm december warm cold breeze blow arm lovin kind oven melt sleet snow heart glow like ember long love warm december warm december oooh cool december warm december"
"1200","romance game fool game think play romance game fool say grin pass throw caution wind fool rush angels fear tread come heart head danger care mmmmmmmm fool rush wise wise fall know felt life begin open heart fool rush fool rush wise wise fall know girl felt life begin open heart fool rush open heart fool rush open heart iiiiiii come open heart fool rush"
"1201","people queer crow scramble rush stop someday address go time stay short holiday life bowl cherries mysterious work save worry dough repeat berry strongest fall sweet things life loan lose own life bowl cherries live laugh life bowl cherries mysterious morning date plunge round empire state admit berry build tall girls kiss thousands week croon like life bowl nut live laugh"
"1202","look lure sweet pure eye arm mouth east north south gain complete control handle heart soul small percent look lure sweet pure eye arm mouth east north south gain complete control handle heart soul small percent"
"1203","wish bluebirds spring heart song sing kiss wish july lemonade cool leafy glade wish health wealth wish break heart agree best best free wish shelter cozy warm snowflakes fall wish wish shelter cozy warm snowflakes fall wish"
"1204","speak bind agreement thing go late feel tear pact seal deal bear sing time come round afraid pay return learn easy term time learn familiarise face eye future plan confirm borrow time easy term live nevernever constant change weather sure door meet recognise sure go conceal friends learn easy term live nevernever constant change weather sure door speak bear notify couldn days pair husband tomorrow johnstone baby agreement bargain swear bible better better want tell sing live nevernever constant change weather sure door meet"
"1205","tonight tell charm leave tomorrow night borrow song tonight thrill touch shelter arm scent roses caress close eye kiss tonight star heavenly light ember heart remember sight live lifetime moment hold tight forget darling tonight live lifetime moment hold tight forget darling tonight tonight tonight"
"1206","ask know true true course reply inside deny say blind heart realize smoke get eye chaff gaily laugh think doubt today blow away laugh friends deride tear hide smile lovely flame die smoke get eye chaff gaily laugh think doubt today blow away laugh friends deride tear hide smile lovely flame die smoke get eye"
"1207","somebody love somebody care possess world gold gold bring happiness grow world change sure star shine somebody love somebody world change sure star shine somebody love somebody"
"1208","sheesh shit regular want thing guess gotta crucify niggas hang body jerusalem judases promise know fuck campaign ludicrous closet finna niggas time niggas niggas better stick rap shoot niggas hang trap jungle bamboo stick kick whip beef ready news clip touch money like gotta rico lingo bingo nigga know ignorantass nigga speedboat vvses hittin blah bling nigga speak like brain link nigga nigga teacup nigga flexin baby mama cclass nigga dream know funeral service jump field throw deep pass chopsticks nigga mopsticks nigga jews moshpit nigga stop nigga niggas conceal weapon convict nigga chopsticks nigga mopsticks nigga jews moshpit nigga stop nigga niggas conceal weapon convict nigga stop nigga touch strip chip talk bout pimpin send bitch bozo polo band need shitty good stinc team bitch worry hood cold fussin nothin asses come percussion clutchin bluffin know bussin duck duck troop shitty leave shitty know leave proof blue clue know dude tool banger niggas know tool bitch chopsticks nigga mopsticks nigga jews moshpit nigga stop nigga niggas conceal weapon convict nigga chopsticks nigga mopsticks nigga jews moshpit nigga stop nigga niggas conceal weapon convict nigga"
"1209","hear music mighty fine music murmur morning breeze rattle milkman stair sure music mighty fine music sing sparrow perk coffee right near favorite phone hear music mighty fine music anytime think world wrong sing song hear music mighty fine music murmur morning breeze rattle milkman stair sure music mighty fine music sing sparrow perk coffee right near favorite phone hear music mighty fine music anytime think world wrong sing song"
"1210","ordinary try work life plan unto like unto lonely soul soon bekindacomes goal feel better tell philosophy want till life live mirth give sky blue send smile want till sky blue send smile want till"
"1211","night apart ghost haunt heart ghost lose romance lips laugh eye dance haunt heart dream repeat sweet lonely song dream dust belong thrill haunt heart haunt heart dream dust belong thrill haunt heart haunt heart heart"
"1212","beautiful dear true fool beauty fool feel bind beautiful fool eye stand share care compare kiss theirs hand faithful sense duty beautiful fool beauty stand share care compare kiss theirs hand faithful sense duty beautiful fool beauty"
"1213","song sing years endless spring murmur eventide ripple nook lovers hide great symphonic theme starlight dream heart agree earth great symphonic theme starlight dream heart agree earth"
"1214","goodbye barely goodnight hardly eye walk away think cross mind couldn turn spring fall smile mean forever trust tomorrow today afraid promise goodbye dancers crowd floor dancers leave song song music go leave arm travel world mean forever trust tomorrow today afraid promise goodbye goodbye"
"1215","true shine time sweet magnolias blossom everybody door folks eat possum true swanny dream stream sublime laugh like song true belong true shine time sweet magnolias blossom everybody door folks eat possum true swanny dream stream sublime laugh like song true belong"
"1216","moments like thrill careless moments like close nonchalantly dine dance heart melt glance moments like soft light aglow long kiss know affairs moments like care affairs moments like care"
"1217","break heart cause leave fall somebody easy believe leave break heart remember dream depend leave slow die ember miss go wish tear drop burn someday want return hurry start break heart wish tear drop burn want return hurry start dear break heart"
"1218","bloom tender kiss drop sweet surrender moment life enchant moment tonight grant tomorrow forever true kiss hold tight tomorow tonight tomorrow forever true kiss hold tight tomorow tonight"
"1219","lovely time million dream dear million dream think sweetheart break golden rule grant wise play fool like sorry heart tomorrow true arm promise true stray away arm promise true stray away"
"1220","pardon pardon dear forgive heart pardon forgive follishness dear arm belong wrong right start life dear prove mean amore long live heart behold forgive life dear prove mean amore long live heart behold forgive"
"1221","know true true course reply inside deny say someday blind heart realize smoke get eye chaff gaily laugh think doubt today fly away laugh friends deride tear hide smile lovely flame die smoke get eye"
"1222","wonderful things life need facts make list life truth take lead relax know gist life truth need second happiness make number know baby truth happiness thing mean wonderful wonderful wonderful things life need facts make list life truth take lead relax know gist life truth need second happiness make number know baby truth happiness thing mean real score time tough poor comprise"
"1223","lovers thrill romance mean good like people good word sigh kiss dear lead think think dear replace slyest embrace rest days whisper phrase darling darling"
"1224","time hide alive inside break mind line survive survive great divide inside break mind line deny come cause come wait life trench ready fight believe steal gonna trench stand cause come come forth stick hole damage control dig rhyme secondhand cell phone survive survive year month month pay dues inside break mind outside deny come cause come wait life trench ready fight believe steal gonna trench stand cause come come wait life trench ready fight believe steal gonna trench stand cause come come stand cause come come"
"1225","sweet sweet memories give beat memories give fresh tender kiss steal night girl grief memories forget small moonbeam fold lightly dream lips sip wine memories wed bell house lovers dwell little kid flavor stir carefully days flavor stay dream savor bless serve generously wife life memories memories"
"1226","lips meet innamorata kiss kiss sweet innamorata hold close warm wine heaven door innamorata want innamorata symphony beautiful sonata innamorata sweetheart symphony beautiful sonata innamorata sweetheart sweetheart sweetheart"
"1227","write songs lead cloud russian play guarantee fool fall hiho alas lackaday dismiss memory kiss guess fool fall hiho alas lackaday dismiss memory kiss guess"
"1228","night feel come sight feel moment dance felt thrill catch heart stand feel yearn know spark burn romance foolish start feel heart romance foolish start feel heart"
"1229","know time tell break month cause girl party talk yeah cause baby mean come chemistry gotta help selfesteem time leave tell good movin inhibition start lose fine hand slippin chest right good sleep repeat night good fine mess mind snap mental photo moment end tonight down friends live live cause baby mean come chemistry good movin inhibition start lose fine hand slippin chest right good sleep repeat night good fine mess mind good movin inhibition start lose fine hand slippin chest right good sleep repeat night good fine mess mind baby tell good movin inhibition start lose fine hand slippin chest right good sleep repeat night good fine mess mind good sleep repeat night good fine mess mind"
"1230","early twilight watch break funny roam roses lately funny touch breeze caress stroll hear merely sigh near dare untrue funny time fall breeze caress stroll hear merely sigh near dare untrue funny time fall"
"1231","fall easily fall fast fall terribly hard heart wellschooled cause fool past fall easily fall fast heart wellschooled cause fool past fall easily fall fast"
"1232","thrill go thrill go eye hear sigh feel touch realize thrill go nights cold grand bird singin sky blue appeal thrill go pretend linger thrill go thrill go"
"1233","knowledge go feel certain friends good good felt whisper completely leave shelf start crazy boon break hear heart matter appeal feel sweet swell feel go hell matter appeal feel"
"1234","fall boys young cuties incline mind duties begin share sweet affair date caddie pose cause baby know heart belong daddy good scout invite dine fine haddie baby sure secure cause heart belong daddy heart belong daddy simply couldn gonna daddy daaaaaaaaad feel romantic laddy warn right start heart belong daddy daddy belong heart"
"1235","dimenticar mean forget darling forget mean dimenticar like darling shin bright clear forget lips hold tight dear dream heart felt glow tonight dear dimenticar travel darling heart dimenticar dimenticar travel darling heart dimenticar"
"1236","leave come tumblin remember september rain go like die ember september rain word hear whisper raindrops play sweet refrain spring september september rain word hear whisper raindrops play sweet refrain spring september september rain say september rain"
"1237","toolie jeans sippin bleach lean sippin bleach need spleen pop bean little team flippin brick servin feans want smoke beam want pressure want steam hold hold licata licata licata like look funny drinkin bleach tickle tummy think dummy dummy rockin sketchers look bummy callin callin spittin bar like mummy gettin grumpy gettin clumsy think sick cause nose runny like skrt pull skrt jump berzerk know want work want work like skrt pull skrt jump berzerk know want work want work ayyee ball like pippen whippin kitchen haters livin trippin gonna flex flex wanna kitten break text trippin play yeah playin flex toolie jeans sippin bleach lean sippin bleach need spleen pop bean little team flippin brick servin feans want smoke beam want pressure want steam pull like skrt pull skrt jump berzerk know want work want work like skrt pull skrt jump berzerk know want work want work ayyee dancin like kiki lick sippin water sippin kiwi wanna think lose get easy pocket green like cena cause flex haters wanna want cause water fiji"
"1238","heart heart bring heart share dream cling dream pray come true darling felt hear life live heart life live heart"
"1239","sweet leilani heavenly nature fashion roses kiss place bower start sweet leilani heavenly dream paradise paradise complete dream come true sweet leilani heavenly tropic sky jealous shine think jealous blue eye jealous hecause sweet leilani heavenly dream paradise paradise complete dream come true paradise complete dream come true"
"1240","year crop kiss sweet year crop miss kiss year romance help moon year crop kiss wearin year"
"1241","sleigh bell ring listen snow glisten beautiful sight tonight walk winter wonderland go away bluebird stay sing song walk winter wonderland meadow build snowman pretend parson marry later conspire dream face unafraid plan walk winter wonderland meadow build snowman pretend parson marry later conspire dream face unafraid plan walk winter wonderland walk winter wonderland walk winter wonderland say walk winter wonderland"
"1242","bird be educate fleas fall spain best upper set lithuanians letts fall dutch amsterdam mention fin folks siam think siamese twin argentines mean people boston bean fall romantic sponge oyster oyster fall cold cape clam gainst wish lazy jellyfish fall electric eels shock know shad bring shad shallow shoal english sole goldfish privacy bowl fall"
"1243","lowbrow garbage plebeian scum sophisticate rapper sippin champagne caviar brain buyin modern golf subpar need horse ride work home secretariat inside hard believe auntie hard buyin property mar readin speak revoir menace venice eatin venison playin tennis winnin doin ness bingin minutes real estate real estate realest hundredcoster little lobster laugh blist yaaah nobel prize shelf bust pull rollie like frickin rolypoly listen tell help self vivaldi right sophisticate sample vivaldi track beautiful elegant public domain place grab china plat antique roadshow callin popo nono tcha know buy brobros marble columns crib lookin like greek place like accountant accountant geek face sippin like spill face vase vase disgrace dang jazz right think couldn classier boom come right jazz jazz vivaldi trap like intelligent yeah pretty sure jazz likei like ninety percent sure jazz justyou play play note somethin jazz jazz tiger walk listen bach rappin like stop shoot likely bodyguards pull trigger tightly politely dislike like like sophistication yaaah high education yaaah pull rollie like frickin rolypoly score goalie listen tell help self"
"1244","mama kneepants mama woman sweet talk sweet talkin woman twoface worrisome thing leave sing blue night rain afallin hear train acallin whooee mama hear lonesome whistle blowin cross trestle whooee mama awhooeeahwhooee clicketyclack aechoin blue night evenin breeze start tree cryin moon hide light blue night word mockingbird sing saddest kind song know things wrong right natchez mobile memphis wind blow towns hear talk thing know woman twoface worrisome thing leave sing blue night mama right blue night"
"1245","fall leave drift window autumn leave gold lips summer kiss sunburn hand hold go away days long soon hear winter song miss darling autumn leave start fall fall leave drift window autumn leave gold lips summer kiss sunburn hand hold soon hear winter song miss darling autumn leave start fall babadoobyboop dooborooy scoobydoobydoo fall leave drift window mellow hummin leave gold lips summer kiss sunburn hand hold go away days long soon hear winter song miss darling zoom autumn leave start fall"
"1246","neath moon hold charm arm hear tune bore till stand thrill send chill right look cause thrill thrill pulse increase piece look cause thrill matter heart silver platter strange desire keep mount higher look thrill thrill"
"1247","understand correctly want waterski ramp wobbegong shark think earlier wanna grow bomp challenger launchin watch breach master kid teach pest cist decease bittorrent cheap princess peach keech sweet show leave fee smoke weed gotta party spinnin control stick hard hole palm stigmata rule tali liarwwwait drop cool stack loot box gacha listen ultra tame impala shootin look foolish lady haymaker brubeck mollywhop think couldn stupid dead thousand point test right correct wanna grow diss firth stick think pull game strong bitch laugh raisin shit think couldn stupid whimmy wham wham wozzle slurms die sin cover ears nantucket long suck say grin wipe chin cunt fuck dumbasses think parody like nerd rappin like shit heresy hatin friends laughin hysterically participate ensue hilarity embarrass cause ultra plus form psycho therapy space psycho therapy world elsagate ring salivate look like national tryn rapper everyday life copy paste malpractice rappers like single plastics feeders know talent british girls american accent wanna grow pushin envelope pushin pram think couldn stupid dumbass think parody like nerd rappin like rarity kerosene rappers come break bury bury wanna grow bomp challenger launchin watch princess peach keech absolute preach wanna grow ultra deathbed convert culpa tat tat vulva"
"1248","breeze say sigh longer care breeze whisper goodbye dream share song constant moon end strange mournful tune know depart wonder breeze breeze original tune andaluza andalucia suite cuban composer lecuona write lyric later composer lyricist say lecuona speak english speak spanish short conversation word music lecuona publish mark music corp copyright renew source reader digest treasury best love songs dilly"
"1249","pride splendid liar swear enemy keep lips say things think pride humble cast wind break beat sick heart confession begin play game stay away cost surrender dear proud pose cause deep heart surrender dear little mean things game lend spice woo care blame star appear shadow fall hear poor heart life surrender dear play game stay away cost surrender dear proud pose cause deep heart surrender dear little mean things game lend spice woo care blame star appear shadow fall hear poor heart life"
"1250","hold arm open wide come ride take leave parttime enjoy stand leave leave baby believe go time gonna strong maybe time young blind think finally mind leave leave baby believe go leave girl deceive leave"
"1251","hear sound music favorite kind music remind dear summer roses favorite shade roses remind dear hear music roses summer nights dream forget heart know need reminder miss hear sound music favorite kind music remind dear summer roses favorite shade roses remind dear hear music roses summer nights dream forget heart know need reminder miss"
"1252","wise smart behave heart dont upset cart shes close soft sweet discreet dont feet close comfort close close comfort close close know firm fair sure beware guard care theres temptation thing lead late cover shes close comfort"
"1253","like beat beat beat tomtoms jungle shadow fall like tick tick tock stately clock stand wall like drip drip drip raindrops summer shower voice keep repeat night beneath moon near matter darling think night night long follow roar traffic boom silence lonely room think night night hide hungry yearn burn inside torment spend life make night night"
"1254","young court girls play wait game maid refuse toss curl earth couple whirl ply tear lieu pearl time come come time come come long long december days grow short reach september autumn weather turn leave flame time wait game days dwindle precious september november golden days share golden days share meet young girls early spring court song rhyme answer word clover ring examine goods bring little offer songs sing plentiful waste time plentiful waste time long long december days grow short reach september autumn weather turn leave flame hasn time wait game days dwindle precious september november precious days spend precious days spend"
"1255","young live world dream moods myths illusionary scheme grow fear fact doubt modern cynics shout spring feel light feather thing magic share come weather daft give world crazy heavenly hazy wing spark firefly fling seasonal thing spring bell hear ring spring robins stop sing cling spring poets sing hard sympathetic merely spring poets plight pathetic poetic spring lovers lure evil thing september cure sure true know turn spring right sight perpetual thing need spring bring ring buy spring wondrous catch darling think know wasn spring twas"
"1256","good lips want lose arm goodbye leave eye take heart"
"1257","hear whistle line figure engine number fortynine sound atchison topeka santa smoke risin round bend reckon know gonna meet friend folks part time atchison topeka santa come whoo better whoo list passengers pretty want lift hotel cause lot travelin spell philadelphia atchison topeka santa aboard aboard woowoo woowoo engineer gotta gotta away shovel coal stick head watch drivers roll towns roads awhizzin fare thee laramie albuquerque high yesiree goin mustn quit till california atchison topeka santa atchison topeka santa come woowoo better whoo list passengers pretty want lift hotel cause lot travelin spell philadelphia atchison topeka santa"
"1258","love love bird be whisper tree know come twosome wrong darling love love"
"1259","right rainbows sky right till come cause complain life sweet apple notice rain come away sleep nights suffer wonder blunder hold tight tingle feel right better away sleep nights suffer wonder blunder hold tight tingle feel right little better"
"1260","hear music mighty fine music murmur morning breeze rattle milkman stair sure music mighty fine music sing sparrow perk coffee right near favourite phone hear music mighty fine music anytime think world wrong sing song hear music mighty fine music murmur morning breeze rattle milkman stair sure music mighty fine music sing sparrow perk coffee right near favourite phone hear music mighty fine music anytime think world wrong sing song"
"1261","till look till hear laugh painters paint writers book tell half till feel warmth glance pensive sweet wise lovely thrill will free believe eye till feel warmth glance pensive sweet wise lovely thrill will free believe eye"
"1262","baby brand choochoo sweet pair eye bluer summer sky realize sweet rain miss sweetie smile think lead aisle night pray steal heart away sweet rain miss sweetie smile baby think lead aisle yeah night pray steal heart away sweet yeah sweet"
"1263","york throw stack pop pole folarin call slight work cardio seat dance floor kinda flow pop bottle have go take shoot shoot need distance eye know end head home relationships like wanna bone dance real step ladies throw hand hhannnn gold bottle party shit couture designer wear prolly lady star imma prolly tell waitress bring couple bottle sparkly shit honorroll crew daper boss step louies birkin hang wrist louboutins movie bout home chardonnay gaye time york lips say eye say baby girl death dress kill eye tell baby deal say see believe real feel like tpain babygirl stripper hand waist pull zipper yeaaahhh get real xrated drop pimp sexy ladies move high outer space pluto bottle ladies nuvo meet gotta meet crew tell beef calm ladies kanye rihanna come alive night time believe go party people clap hand ladies dance real bboy stance imma dance yeah yeah york party people yeah"
"1264","leave come tumble remember september rain go like die ember september rain word hear whisper raindrops play sweet refrain spring september september rain"
"1265","choose brave bright bore ballet sweet smart snore accent give gooseflesh jack voice hold enthral seward luch open mouth live ranch learn dance marry neighbor kind wise hard labor rid palomino save live cut frog spend even dog perfection hitch wagon seward companion turn surgery shrine mind follow heart want ride want stitch want different worlds gallop plain comfort sick need halo ambitious excite wise tall best truth follow heart bold aesthetic wise kind grow children time poor fellow tell feel peace mind suitors choose give brave seward give bright give bore luch lose follow heart open mind love adore miss whisker seward like finish begin mysterious choose fool think choose minutest opportunity claim immunity"
"1266","cigarette bear lipstick trace airline ticket romantic place heart wing foolish things remind tinkle piano apartment stumble word tell heart mean fairgrounds paint swing foolish things remind come conquer know wind march heart dancer telephone ring answer ghost cling foolish things remind daffodil long excite cable candle light little corner table heart wing foolish things remind even sound iledefrance gull beauty spring foolish things remind strange sweet things dear bring near sigh midnight train station silk stock toss aside dance invitations ghost cling foolish things remind foolish things remind"
"1267","sweet expression smile give look easy remember hard forget hear whisper know easy remember hard forget dream hand caress finger press tight dream lonely feel steal night little moment clear bring regret easy remember hard forget dream hand caress finger press tight dream lonely feel steal night little moment clear bring regret easy remember hard forget"
